Ingredient,RxCUI,cdm_id,Drug name,Terminology
Black cohosh extract,236665,"	41305003",Black Cohosh Extract 0.25 MG / Sanguinaria canadensis extract 0.25 MG / Sepia officinalis juice 0.25 MG / Strychnos ignatii preparation 0.025 MG Oral Tablet,RxNorm Extension
Black cohosh extract,236665,1391648,"	black cohosh extract",RxNorm
Black cohosh extract,236665,"	43675375",Black Cohosh Extract 3.75 MG / ST. JOHN'S WORT EXTRACT 75 MG Oral Tablet,RxNorm Extension
Black cohosh root extract,259511,,,
Busulfan,1828,42920661,10 ML Busulfan 6 MG/ML Injectable Solution [Busulfex],"	RxNorm Extension"
Busulfan,1828,1333357,"	busulfan",RxNorm
Busulfan,1828,2027400,10 ML busulfan 6 MG/ML Injectable Solution [Busulfex] by Otsuka,RxNorm Extension
Busulfan,1828,2027399,10 ML busulfan 6 MG/ML Injectable Solution [Busulfex] by Kyowa Kirin,"	RxNorm Extension"
Calaspargase Pegol,2121416,,,
Carbamazepine,2002,42946833,"	Carbamazepine 200 MG Oral Tablet [CARMAZEPINE]",RxNorm Extension
Carbamazepine,2002,"42946835	",Carbamazepine 200 MG Extended Release Oral Tablet [CARMAZEPINE],RxNorm Extension
Carbamazepine,2002,40166956,carbamazepine 200 MG Extended Release Oral Tablet [Tegretol],"	RxNorm"
Carbamazepine,2002,"	42946842",Carbamazepine 300 MG Extended Release Oral Tablet [CARMAZEPINE],RxNorm Extension
Carbamazepine,2002,740275,"	carbamazepine",RxNorm
Carbamazepine,2002,"	19074680	","	carbamazepine 200 MG Oral Tablet [Tegretol]",RxNorm
Carbamazepine,2002,42946836,Carbamazepine 200 MG Extended Release Oral Tablet [CARMINE],RxNorm Extension
Carbamazepine,2002,"	42946843",Carbamazepine 300 MG Extended Release Oral Tablet [BUKWANG TIMONIL],"	RxNorm Extension"
Carbamazepine,2002,"	42919362","	100 ML Carbamazepine 20 MG/ML Oral Suspension [Tegretol]",RxNorm Extension
Carbamazepine,2002,2031875,1 ML carbamazepine 20 MG/ML Oral Suspension [Tegretol] by Novartis,RxNorm Extension
Chlorpromazine,2403,42947903,"	Chlorpromazine 100 MG Oral Tablet [NEOMAZINE]",RxNorm Extension
Chlorpromazine,2403,"	794852","	chlorpromazine",RxNorm
Clavulanate,48203,1759842,clavulanate,"	RxNorm"
Clavulanate,48203,42951724,Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet [CLAMONEX],"	RxNorm Extension"
Clavulanate,48203,"	42951756",Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet [MOXICLE],RxNorm Extension
Clavulanate,48203,"	42951408","	Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet [MOXICLE]",RxNorm Extension
Clavulanate,48203,42951753,Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet [YUCLA],RxNorm Extension
Clavulanate,48203,42951405,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet [YUCLA],RxNorm Extension
Clavulanate,48203,2052449,amoxicillin 40 MG / clavulanate 5.7 MG Oral Suspension [AUGMENTIN DUO] by Ilsung,"	RxNorm Extension"
Clavulanate,48203,"	19133019",amoxicillin 250 MG / clavulanate 125 MG Oral Tablet [Augmentin],RxNorm
Clavulanate,48203,42919826,50 ML Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML Oral Suspension [AMOCLA DUO],"	RxNorm Extension"
Clavulanate,48203,"	42919823",50 ML Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML Oral Suspension [Augmentin Duo],"	RxNorm Extension"
Clavulanate,48203,"2011814	",amoxicillin 40 MG / clavulanate 5.7 MG Oral Suspension [CRAMOTIN DUO] by Dong-a,"	RxNorm Extension"
Clavulanate,48203,"	42919817	",50 ML Amoxicillin 25 MG/ML / Clavulanate 6.25 MG/ML Oral Suspension [AMOXCLAN],"	RxNorm Extension"
Clavulanate,48203,2052243,amoxicillin 25 MG / clavulanate 6.25 MG Oral Suspension [AMOXCLAN] by Hanmi,RxNorm Extension
Clavulanate,48203,"	42919832",50 ML Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML Oral Suspension [AUGMEX DUO],"	RxNorm Extension"
Clavulanate,48203,"42919917	",50 ML Amoxicillin 120 MG/ML / Clavulanate 8.58 MG/ML Oral Suspension [AMOCLA NEO],RxNorm Extension
Clavulanate,48203,"	42919828",50 ML Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML Oral Suspension [AMOXCLAN DUO],RxNorm Extension
Clavulanate,48203,42951320,Amoxicillin 200 MG / Clavulanate 50 MG Tablet for Oral Suspension [CAMODIX],RxNorm Extension
Clavulanate,48203,"	2052192",amoxicillin 125 MG / clavulanate 8.58 MG Oral Suspension [AMOCLA NEO] by Kuhnil,RxNorm Extension
Clavulanate,48203,"	42948460	",Clavulanate 100 MG / Ticarcillin 1650 MG Injection [TIOCLA],"	RxNorm Extension"
Clavulanate,48203,2011810,amoxicillin 100 MG / clavulanate 25 MG Tablet for Oral Suspension [CAMODIX] by Sam-a,"	RxNorm Extension"
Clavulanate,48203,2052123,amoxicillin 125 MG / clavulanate 31.2 MG Tablet for Oral Suspension [AMOXCLAN] by Hanmi,RxNorm Extension
Clavulanate,48203,2051672,amoxicillin 62.5 MG / clavulanate 15.6 MG Tablet for Oral Suspension [AMOXCLAN] by Hanmi,RxNorm Extension
Clavulanate,48203,2011778,"	amoxicillin 62.5 MG / clavulanate 15.6 MG Tablet for Oral Suspension [CAMODIX] by Sam-a",RxNorm Extension
Clavulanate,48203,42919802,50 ML Amoxicillin 25 MG/ML / Clavulanate 6.25 MG/ML Oral Suspension [Augmentin],RxNorm Extension
Danazol,3102,42964048,"	Danazol 200 MG Oral Capsule [YOUNGPOONG DANAZOL]","	RxNorm Extension"
Danazol,3102,"1511449	","	danazol",RxNorm
Dantrolene,3105,42942268,Dantrolene 25 MG Oral Capsule [Anorex],"	RxNorm Extension"
Dantrolene,3105,711714,"	dantrolene","	RxNorm"
Dapsone,3108,42948129,Dapsone 100 MG Oral Tablet [TAIGUK DAPSONE],"	RxNorm Extension"
Dapsone,3108,1711759,dapsone,RxNorm
Desogestrel,22656,,,
Diclofenac,3355,42921946,"	2 ML Diclofenac 45 MG/ML Injectable Solution [DICKNOL]",RxNorm Extension
Diclofenac,3355,2029752,2 ML diclofenac 45 MG/ML Injectable Solution [DICKNOL] by Myungmoon,"	RxNorm Extension"
Diclofenac,3355,"	1124300","	diclofenac",RxNorm
Diclofenac,3355,2029749,2 ML diclofenac 45 MG/ML Injectable Solution [NEWFENAC] by Aju,RxNorm Extension
Didanosine,3364,"	2050977",didanosine 250 MG Extended Release Oral Capsule [Videx EC] by BMS,"	RxNorm Extension"
Didanosine,3364,2050976,didanosine 400 MG Extended Release Oral Capsule [Videx EC] by BMS,"	RxNorm Extension"
Didanosine,3364,"	1724869","	didanosine",RxNorm
Dienestrol,3368,,,
Disulfiram,3554,,,
Drospirenone,11636,"	1512674","	drospirenone",RxNorm
Drospirenone,11636,19124099,"	drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet",RxNorm
Drospirenone,11636,"	43256701","	drospirenone 2 MG / Estradiol 1 MG Oral Tablet [Angeliq]",RxNorm Extension
Drospirenone,11636,"	19071361","	drospirenone 3 MG / ethinyl estradiol 0.03 MG Oral Tablet",RxNorm
Dydrogesterone,3706,21080074,Dydrogesterone 10 MG Oral Tablet [Duphaston] by Abbott,RxNorm Extension
Dydrogesterone,3706,"19040060	","	dydrogesterone",RxNorm
Dydrogesterone,3706,"	2075051","	{14 (Dydrogesterone 10 MG / Estradiol 2 MG Oral Tablet) / 14 (estradiol 2 MG Oral Tablet) } Pack [Femoston] by JW",RxNorm Extension
Dydrogesterone,3706,"	2044163",dydrogesterone 10 MG Oral Tablet [JW DUPHASTON] by JW,RxNorm Extension
Efavirenz,195085,"	43277370",efavirenz 600 MG Oral Tablet [Stocrin],"	RxNorm Extension"
Efavirenz,195085,"	1738135","	efavirenz","	RxNorm"
Erythromycin,4053,2031636,"	1 ML erythromycin 25 MG/ML Oral Suspension [Ilosone] by Yungjin",RxNorm Extension
Erythromycin,4053,1746940,erythromycin,"	RxNorm"
Erythromycin,4053,2023793,1000 MG colistin 0.005 MG/MG / erythromycin 0.005 MG/MG Ophthalmic Ointment [Ecolicin] by Taejoon,"	RxNorm Extension"
Erythromycin,4053,"	2031633","	1 ML colistin 5 MG/ML / erythromycin 5 MG/ML Ophthalmic Solution [Ecolicin] by Taejoon",RxNorm Extension
Estradiol,4083,"	19026230",estradiol 2 MG Oral Tablet [Progynova],"	RxNorm"
Estradiol,4083,1548195,"	estradiol",RxNorm
Estradiol,4083,19027323,"	estradiol 1 MG Oral Tablet [Progynova]","	RxNorm"
Estradiol,4083,2075044,{12 (Cyproterone 1 MG / Estradiol 2 MG Oral Tablet) / 16 (estradiol 2 MG Oral Tablet) } Pack [Climen] by Bayer,RxNorm Extension
Estradiol,4083,43256701,"	drospirenone 2 MG / Estradiol 1 MG Oral Tablet [Angeliq]",RxNorm Extension
Estradiol,4083,"	42943300","	Estradiol 2 MG / Norethindrone 1 MG Oral Tablet [CLIANE]",RxNorm Extension
Estradiol,4083,"	43294679	","	dienogest / Estradiol Oral Tablet [Qlaira]",RxNorm Extension
Estradiol,4083,"	2075054",{10 (estradiol 2 MG / medroxyprogesterone 10 MG Oral Tablet) / 11 (estradiol 2 MG Oral Tablet) } Pack [DIVINA] by Hyundai,RxNorm Extension
Estradiol,4083,"	2075013	","	{6 (estradiol 1 MG Oral Tablet) / 10 (estradiol 2 MG / norethindrone 1 MG Oral Tablet) / 12 (estradiol 2 MG Oral Tablet) } Pack [Trisequens] by Novonordisk",RxNorm Extension
Estradiol,4083,"	2075051",{14 (Dydrogesterone 10 MG / Estradiol 2 MG Oral Tablet) / 14 (estradiol 2 MG Oral Tablet) } Pack [Femoston] by JW,RxNorm Extension
Estradiol,4083,43153692,50000 MG Estradiol 0.001 MG/MG Topical Gel [ESTREVA],RxNorm Extension
Estradiol,4083,"	42943298","	Estradiol 1 MG / Norethindrone 0.5 MG Oral Tablet [ESDIOL-HALF]",RxNorm Extension
Estradiol,4083,"	2024013",1000 MG estradiol 0.001 MG/MG Topical Gel [Divigel] by Hyundai,RxNorm Extension
Estradiol,4083,"	2075029","	{28 (estradiol 1 MG / norethindrone acetate 0.5 MG Oral Tablet) } Pack [ACTIVELLE] by Novonordisk",RxNorm Extension
Estradiol,4083,2075027,{28 (estradiol 1 MG / norethindrone acetate 0.5 MG Oral Tablet) } Pack [KLIOGEST] by Novonordisk,RxNorm Extension
Estriol,4094,42971273,Estriol 0.03 MG / Lactobacillus acidophilus 10000000 IU Vaginal Tablet [Gynoflor],RxNorm Extension
Estriol,4094,"19049038	",estriol,RxNorm
Estriol,4094,2043821,estriol 0.5 MG Vaginal Suppository [Ovestin] by MSD,"	RxNorm Extension"
Estriol,4094,"2011166	",estriol 0.5 MG Vaginal Suppository [Ovestin] by Schering-Plough,RxNorm Extension
Estrogens,4100,,,
Estrone,4103,,,
Estropipate,33747,2024015,1000 MG estropipate 0.0015 MG/MG Vaginal Cream [ESGEN] by Myungmoon,"	RxNorm Extension"
Estropipate,33747,"	1525278","	estropipate","	RxNorm"
Estropipate,33747,42931182,"estropipate 0.75 MG Oral Tablet [ESGEN]	",RxNorm Extension
Ethinyl Estradiol,4124,"	1549786","	ethinyl estradiol",RxNorm
Ethinyl Estradiol,4124,"	19060529","	ethinyl estradiol 0.03 MG / gestodene 0.075 MG Oral Tablet","	RxNorm"
Ethinyl Estradiol,4124,"	19124099","	drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet",RxNorm
Ethinyl Estradiol,4124,"	19071361","	drospirenone 3 MG / ethinyl estradiol 0.03 MG Oral Tablet",RxNorm
Floxuridine,4488,,,
Flucloxacillin (floxacillin),4448,,,
Fluorouracil,4492,"42920309	",20 ML Fluorouracil 50 MG/ML Injectable Solution [CHOONGWAE 5-FU],RxNorm Extension
Fluorouracil,4492,"	2009512","	20 ML fluorouracil 50 MG/ML Injectable Solution [JW 5-FU] by JW",RxNorm Extension
Fluorouracil,4492,"	42920649",10 ML Fluorouracil 50 MG/ML Injectable Solution [CHOONGWAE 5-FU],RxNorm Extension
Fluorouracil,4492,42921149,5 ML Fluorouracil 50 MG/ML Injectable Solution [CHOONGWAE 5-FU],RxNorm Extension
Fluorouracil,4492,2009564,10 ML fluorouracil 50 MG/ML Injectable Solution [JW 5-FU] by JW,RxNorm Extension
Fluorouracil,4492,955632,"	fluorouracil",RxNorm
Fluorouracil,4492,2009646,"	5 ML fluorouracil 50 MG/ML Injectable Solution [JW 5-FU] by JW",RxNorm Extension
Fluorouracil,4492,"	43707750",Fluorouracil 0.005 MG/MG / Salicylic Acid 0.1 MG/MG Topical Solution,RxNorm Extension
Fluorouracil,4492,"	41220763	","	Fluorouracil 0.05 MG/MG Topical Cream [Efudix]",RxNorm Extension
Fluoxymesterone,4494,,,
Flutamide,4508,,,
Fosphenytoin,72236,42921865,"	2 ML fosphenytoin 75 MG/ML Injectable Solution [Cerebyx]",RxNorm Extension
Fosphenytoin,72236,"	42920607","	10 ML fosphenytoin 75 MG/ML Injectable Solution [Cerebyx]",RxNorm Extension
Fosphenytoin,72236,"	713192","	fosphenytoin","	RxNorm"
Fosphenytoin,72236,2029604,2 ML fosphenytoin 75 MG/ML Injectable Solution [Cerebyx] by Hanlim,RxNorm Extension
Fosphenytoin,72236,2027392,"	10 ML fosphenytoin 75 MG/ML Injectable Solution [Cerebyx] by Hanlim",RxNorm Extension
Gemtuzumab ozogamicin,1294580,,,
Teucrium scorodonia whole extract,1549111,,,
Teucrium marum extract,1341385,,,
Teucrium marum top extract,1368325,,,
Teucrium scorodonia flowering top extract,1310057,,,
green tea extract,659476,,,
green tea leaf extract,283567,,,
Halothane,5095,,,
Hydralazine,5470,"	2032036",1 ML hydralazine 20 MG/ML Injectable Solution by Samjin,RxNorm Extension
Hydralazine,5470,42929489,Hydralazine 25 MG Oral Tablet [HYDRALAZINE HCL SAMJIN],RxNorm Extension
Hydralazine,5470,"	42922292",1 ML Hydralazine 20 MG/ML Injectable Solution [HYDRALAZINE HCL SAMJIN],RxNorm Extension
Hydralazine,5470,1373928,"	hydralazine","	RxNorm"
17-alpha-hydroxyprogesterone,5542,36249938,"	1 ML hydroxyprogesterone caproate (USP) 250 MG/ML Injection",RxNorm
17-alpha-hydroxyprogesterone,5542,19077143,"	17-alpha-hydroxyprogesterone",RxNorm
17-alpha-hydroxyprogesterone,5542,2009873,"	1 ML 17-alpha-hydroxyprogesterone 250 MG/ML Injectable Solution [JENAPHARM PROGESTERON DEPOT] by Serpentem",RxNorm Extension
Ibuprofen,5640,"	19078461	","	ibuprofen 200 MG Oral Tablet","	RxNorm"
Ibuprofen,5640,"	1177480","	ibuprofen","	RxNorm"
Ibuprofen,5640,"	42948431",Acetaminophen 250 MG / Codeine 10 MG / Ibuprofen 200 MG Oral Capsule [MYPOL],RxNorm Extension
Ibuprofen,5640,42923455,Ibuprofen 300 MG Oral Tablet [DICAROL],RxNorm Extension
Ibuprofen,5640,42918274,500 ML Ibuprofen 12 MG/ML Oral Suspension [MAXIBUPEN],RxNorm Extension
Ibuprofen,5640,"42923550	",Ibuprofen 400 MG Oral Tablet [IBUPROFEN DAEHWA],RxNorm Extension
Ibuprofen,5640,"	42923464",Ibuprofen 300 MG Oral Tablet [ANYFEN],RxNorm Extension
Ibuprofen,5640,42918279,500 ML Ibuprofen 12 MG/ML Oral Suspension [ANYFEN],RxNorm Extension
Ibuprofen,5640,2032376,"	1 ML ibuprofen 12 MG/ML Oral Suspension [ANYFEN] by Ahngook",RxNorm Extension
Ibuprofen,5640,"	42923551","	Ibuprofen 400 MG Oral Tablet [IBUPROFEN NELSON]",RxNorm Extension
Ibuprofen,5640,42923559,"	Ibuprofen 400 MG Oral Tablet [IBUFEN]",RxNorm Extension
Ibuprofen,5640,"19024626	","	ibuprofen 400 MG Oral Tablet [Brufen]",RxNorm
Ibuprofen,5640,"	42918282","	500 ML Ibuprofen 12 MG/ML Oral Suspension [KOKO PED]",RxNorm Extension
Ibuprofen,5640,2032386,1 ML ibuprofen 12 MG/ML Oral Suspension [MAXIBUPEN] by Hanmi,RxNorm Extension
Ibuprofen,5640,43291470,"	4 ML Ibuprofen 100 MG/ML Injection",RxNorm Extension
Ibuprofen,5640,"	41339644",2 ML Ibuprofen 5 MG/ML Injectable Solution [Pedea],RxNorm Extension
Ibuprofen,5640,2029716,2 ML ibuprofen 5 MG/ML Injectable Solution [Pedea] by Samoh,RxNorm Extension
Infliximab,191831,"	937368	","	infliximab","	RxNorm"
Infliximab,191831,"	937369	","	infliximab 100 MG Injection [Remicade]","	RxNorm"
Infliximab,191831,2037160,infliximab 100 MG Injection [Remicade] by Janssen,RxNorm Extension
Infliximab,191831,21092406,"	infliximab 100 MG Injection [Remsima]",RxNorm Extension
Infliximab,191831,2010486,"	infliximab 100 MG Injection [Remicade] by Schering-Plough",RxNorm Extension
Infliximab,191831,"	2037159",infliximab 100 MG Injection [Remsima] by Celltrion,RxNorm Extension
interferon alfa-2a,5879,2010220,0.5 ML interferon alfa-2a 6000000 IU/ML Prefilled Syringe [Roferon-A] by Roche,RxNorm Extension
interferon alfa-2a,5879,42922845,"	0.5 ML Interferon Alfa-2a 6000000 IU/ML Prefilled Syringe [Roferon-A]",RxNorm Extension
interferon alfa-2a,5879,"1379969	",interferon alfa-2a,RxNorm
interferon alfa-2b,5880,2009783,1.2 ML interferon alfa-2b 15000000 IU/ML Pen Injector [Intron A] by MSD,RxNorm Extension
interferon alfa-2b,5880,"	42922253	",1.2 ML Interferon Alfa-2b 15000000 IU/ML Pen Injector [Intron A],RxNorm Extension
interferon alfa-2b,5880,"	2009784",1.2 ML interferon alfa-2b 15000000 IU/ML Pen Injector [Intron A] by Schering-Plough,RxNorm Extension
interferon alfa-2b,5880,42922255,"	1.2 ML Interferon Alfa-2b 25000000 IU/ML Pen Injector [Intron A]","	RxNorm Extension"
interferon alfa-2b,5880,1380068,"	interferon alfa-2b",RxNorm
interferon alfa-n3,612937,,,
interferon alfa-n1,202912,,,
interferon alfacon-1,59744,,,
interferon-beta,4381,,,
interferon beta-1b,72257,"2010025	",1 ML interferon beta-1b 0.3 MG/ML Injectable Solution [Betaferon] by Bayer,RxNorm Extension
interferon beta-1b,72257,713196,interferon beta-1b,RxNorm
interferon beta-1b,72257,42957485,interferon beta-1b 0.3 MG Injection [Betaferon],RxNorm Extension
interferon beta-1a,75917,"	722424","	interferon beta-1a",RxNorm
interferon beta-1a,75917,"	2010221","	0.5 ML interferon beta-1a 0.088 MG/ML Pen Injector [REBIDOSE] by Merck",RxNorm Extension
interferon beta-1a,75917,"	37593707",0.5 ML Interferon beta-1a 0.044 MG/ML Prefilled Syringe [Rebif] by Merck,RxNorm Extension
Ipilimumab,1094833,"46275962	","	10 ML ipilimumab 5 MG/ML Injection","	RxNorm"
Ipilimumab,1094833,"	40238188",ipilimumab,"	RxNorm"
Iproniazid,5981,,,
Isoniazid,6038,42948574,"	isoniazid 100 MG Oral Tablet [YUHAN-ZID]",RxNorm Extension
Isoniazid,6038,"	1782521","	isoniazid",RxNorm
Isoniazid,6038,42948571,isoniazid 150 MG / Rifampin 300 MG Oral Tablet [TUBES2],"	RxNorm Extension"
Kava preparation,285228,,,
Ketoconazole,6135,42917588,20000 MG Ketoconazole 0.02 MG/MG Topical Cream [TAIGUK KETOCONAZOLE],RxNorm Extension
Ketoconazole,6135,"	985708","	ketoconazole",RxNorm
Ketoconazole,6135,"	2024368",1000 MG ketoconazole 0.02 MG/MG Topical Cream [Nizoral] by Janssen,RxNorm Extension
Ketoconazole,6135,2033225,"	1 ML ketoconazole 20 MG/ML Topical Solution [NASOL] by Hanmi",RxNorm Extension
Ketoconazole,6135,2074959,"	ketoconazole 200 MG Oral Tablet [CASZOL] by CMG","	RxNorm Extension"
Ledipasvir,1591922,45775164,ledipasvir 90 MG / sofosbuvir 400 MG Oral Tablet [Harvoni],RxNorm
Ledipasvir,1591922,"	45775020",ledipasvir,RxNorm
Levofloxacin,82122,"	42919102	",150 ML Levofloxacin 5 MG/ML Injectable Solution [CRAVIT],"	RxNorm Extension"
Levofloxacin,82122,"1742253	",levofloxacin,RxNorm
Levofloxacin,82122,"42921484	",5 ML Levofloxacin 15 MG/ML Ophthalmic Solution [CRAVIT],"	RxNorm Extension"
Levofloxacin,82122,"	42965222",Levofloxacin 500 MG Oral Tablet [LEVOFEXIN],RxNorm Extension
Levofloxacin,82122,"	2025427","	150 ML levofloxacin 5 MG/ML Injectable Solution [CRAVIT] by Jeil","	RxNorm Extension"
Levofloxacin,82122,"42965254	",Levofloxacin 250 MG Oral Tablet [LEVOFEXIN],RxNorm Extension
Levofloxacin,82122,"	42921466",5 ML Levofloxacin 5 MG/ML Ophthalmic Solution [CRAVIT],RxNorm Extension
Levofloxacin,82122,2031677,1 ML levofloxacin 5 MG/ML Ophthalmic Solution [LEVOCLE] by Hanlim,"	RxNorm Extension"
Levofloxacin,82122,"	42965510","	Levofloxacin 750 MG Oral Tablet [LEVOKACIN]","	RxNorm Extension"
Levofloxacin,82122,"	42919478	",100 ML Levofloxacin 5 MG/ML Injectable Solution [CRAVIT],RxNorm Extension
Levofloxacin,82122,42965220,"	Levofloxacin 500 MG Oral Tablet [LEVOXACIN]",RxNorm Extension
Levofloxacin,82122,"	42965511",Levofloxacin 750 MG Oral Tablet [LEVOPLUS],RxNorm Extension
Levofloxacin,82122,"	2025834",100 ML levofloxacin 5 MG/ML Injectable Solution [CRAVIT] by Jeil,RxNorm Extension
Levofloxacin,82122,42965215,"	Levofloxacin 500 MG Oral Tablet [CRAVIT]",RxNorm Extension
Levofloxacin,82122,"	2031686	",1 ML levofloxacin 5 MG/ML Ophthalmic Solution [CRAVIT] by Santen,RxNorm Extension
Levofloxacin,82122,"	42965244	",Levofloxacin 250 MG Oral Tablet [CRAVIT],RxNorm Extension
Levofloxacin,82122,"42965252	","	Levofloxacin 250 MG Oral Tablet [LEVOXACIN]",RxNorm Extension
